Product Name,Price,Description
Thé vert Détox Drainant (citron) BIO en vrac,"34,75 € ht","Arôme naturel : Citron Ingrédients : Thé vert China Sencha*, maté vert*, citronnelle* (16%), thé blanc Pai Mu Tan*, ortie*, écorces de citron* (9%), feuilles de moringa*, coco*, arôme naturel..."
Thé vert clémi (Pamplemousse-coco) bio en vrac,"31,60 € ht","Saveur : Pamplemousse-coco Ingrédients : Thé vert China Sencha*, citronnelle*, écorces de citron*, coco* (8%), écorces d'orange*, arôme naturel de noix de coco, spirulina*, fleurs de souci*, arôme naturel de..."
Thé vert l'airelle rouge (Fraise-canneberge) BIO en vrac,"32,65 € ht","Arôme naturel : Fraise-canneberge Ingrédients : Thé vert China Sencha*, arôme naturel (fraise, canneberge), fraise* (2%), canneberge* (2%). *Issu de l‘agriculture biologiqueDosage : 12 - 15 g/LTemps d'infusion : 2..."
Thé vert China Sencha Grade 1 Dao Ren Feng BIO en vrac,"45,05 € ht",Thé vert nature Ce Sencha est travaillé selon des méthodes japonaises traditionnelles. Saveur agréable et sucrée avec une tas- se jaune-verte. Issu de l‘agriculture biologique. Ingrédients : 100 % thé...
Thé vert China Thé matcha à cuisiner BIO en vrac sachet de 30 g,"7,45 € ht","Thé vert nature Grâce à sa qualité exceptionnelle, notre thé matcha à cuisiner est parfaitement adapté à la préparation de mets sucrés et savoureux. Les amateurs de cuisine asiatique légère..."
"Thé vert good mood (Citron, Abricot) bio en vrac","48,40 € ht","Saveur : Citron - Abricot Calme et sérénité Plus d'équilibre, plus de force, plus de beauté ! Pour tous ceux qui souhaitent apporter du bienfait à leur corps. Calme intérieur..."
"Thé vert mix taste (fraise, mangue) en vrac","36,65 € ht","Arôme naturel : Fraise-mangue Ingrédients : Thé vert China Sencha*, pomme*, datte (datte, farine de riz)*, citronnelle*, thé blanc Pai Mu Tan*, thé noir Golden Yunnan OP*, morceaux de pomme*,..."
"Thé vert (Pêche, lavande) BIO en vrac","35,80 € ht","Saveur : Pêche - lavande Ingrédients : Thé vert de Chine Sencha*, thé vert matcha*, arôme naturel (pêche, lavande), lavande* (3%), groseille*, fleurs de bleuet*, cassis*, pêche* (1%). *Issu de..."
"Thé vert glitters (rose, menthe) bio en vrac","33,70 € ht","Saveur : Rose-menthe Ingrédients : Thé vert China Sencha*, menthe poivrée* (12%), thé vert China Gunpowder*, thé blanc Pai Mu Tan*, thé vert Darjeeling OP*, China Jasmin Dragon Pearls*, poivre..."
Mélanges Chai Chai-thé du matin BIO en vrac,"30,55 € ht","Mélanges Chai Non aromatisé Ingrédients : Thé vert de Chine Sencha*, bâtons de cannelle*, citronnelle*, gingembre*, thé vert China Jasmine*, ortie*, anis*, fenouil*, poivre noir*, clous de girofle*, cardamome*. *Issu..."
