Product Name,Price,Description
Infusion fruitée chinatown (vanille-cannelle) en vrac,"26,90 € ht","Arômes naturels : Vanille-cannelle Ingrédients : Datte (datte, farine de riz), raisin (raisin, huile végétale), gingembre, bâtons de cannelle (7%), arôme naturel, badiane, clou de girofle, cardamome, vanille (1%). Mélange..."
Infusion fruitée p'tite douceur (Coing-framboise-acérola) BIO en vrac,"31,60 € ht","Saveur : Framboise - acérola Ingrédients : Pomme*, coing* (21%), citronnelle*, raisin (raisin, huile végétale)*, datte (datte, farine de riz)*, arôme naturel (pamplemousse, citron, bergamote, framboise), fleurs de bleuet*, framboise*..."
Infusion fruitée  (Melon) en vrac,"29,30 € ht","Saveur : Melon Ingrédients : Melon (melon, sucre), pomme, hibiscus, écorces de citron, Menthe à la pomme, arôme, myrte citronnée, fleurs de bleuet, mauve, arôme naturel de concombre. Dosage :..."
"Infusion fruitée zesty  (Baies sauvages, citron) en vrac","29,30 € ht","Arômes naturels : Baies sauvages-citron Ingrédients : Pomme, citronnelle (11%), hibiscus, cynorrhodon, écorces de citron, arôme naturel, mûre, myrtille sauvage, framboise, souci. Mélange premium avec des ingrédients issus de l'agriculture..."
Tisanes Tomato Twist Bio en vrac,"39,50 € ht","Tisanes Saveur tomate thym Ingrédients : Tomate (tomate, sel marin)* (73%), thym*, plantain lancéolé*, poivre noir*, basilic*, tulsi*, fleurs de bleuet*, herbe de blé*. *Issu de l'agriculture biologiqueDosage : 20..."
Tisane céleste BIO en vrac,"31,60 € ht","Arôme naturel : Non aromatisé Ingrédients : Ortie*, hibiscus*, mélisse*, racine de réglisse*, écorces d'orange*, millepertuis*, dent-de-lion*, baie de sureau*, pétales de rose*. *Issu de l'agriculture biologiqueDosage : 12 -..."
Tisane chocolaterie (chocolat) BIO en vrac,"40,55 € ht","Tisanes Saveur chocolat Ingrédients : Pomme*, citrouille* (21%), datte (datte, farine de riz)*, fève de cacao concassée*, coing*, extrait de cacao*, fraise*, pop-corn*, arôme naturel d'orange.* Issu de l‘agriculture biologique..."
Tisane bonjour BIO en vrac,"21,10 € ht","Tisanes Non aromatisé Ingrédients : Pomme*, ortie*, citronnelle*, fenouil*, camomille*, feuilles de mûre*. *Issu de l'agriculture biologiqueDosage : 12 - 15 g/LTemps d'infusion : 7 - 10 MinTempérature d'infusion :..."
Tisanes Infusion aux herbes pour le soir BIO en vrac,"32,65 € ht","Tisanes Saveur Orange-Mandarine Ingrédients : Pomme, verveine entière, mélisse, arôme naturel d'orange, écorces d'orange, tulsi, souci, arôme naturel, fleurs de houblon, alchémille, valériane, sarriette. Mélange premium élaboré avec des ingrédients..."
"Infusion fruitée douce (Framboise, citron vert) BIO en vrac","36,85 € ht","Saveur : Framboise - citron vert Ingrédients : Citronnelle*, coco*, pomme*, hibiscus*, coing*, écorces de citron*, morceaux de pomme*, arôme naturel de framboise, baie de goji*, framboise*, arôme naturel de..."
Infusion fruitée (Rose) BIO en vrac,"33,20 € ht","Saveur : Rose Ingrédients : Pomme*, cynorrhodon*, hibiscus*, baie de sureau*, écorces d'orange*, pétales de rose* (4%), arôme naturel (rose). *Issu de l'agriculture biologique Dosage : 15 - 20 g/LTemps..."
"Infusion fruitée fragrance (exotique, citron) en vrac","29,30 € ht","Arômes naturels : Exotique-citron Ingrédients : Pomme*, hibiscus*, Rooibos naturel*, citronnelle*, cynorrhodon*, banane (banane, huile de noix de coco, sucre de canne, miel)*, fleurs de souci*, arôme naturel de mangue,..."
Tisane Captain Pirate BIO en vrac,"44,00 € ht","Tisanes Saveur citrouille-pomme Ingrédients : Citrouille* (41%), pomme*, coing*, carotte*, curcuma*, chili*. *Issu de l'agriculture biologiqueDosage : 20 g/LTemps d'infusion : 10 - 15 MinTempérature d'infusion : 100° C Certification..."
Tisane (Réglisse) BIO en vrac,"33,70 € ht","Saveur : Non aromatisé Ingrédients : Anis*, racine de réglisse* (21%), badiane*, arôme naturel d’anis, fleurs de bleuet*.* Issu de l‘agriculture biologiqueDosage : 15 - 20 g/LTemps d'infusion : 10..."
Tisanes ayurvédiques épicée BIO en vrac,"31,60 € ht","Arôme naturel : Non aromatisé Ingrédients : Bâtons de cannelle*, gingembre*, poivre noir*, clous de girofle*, cardamome*. *Issu de l'agriculture biologique Dosage : 15 - 20 g/LTemps d'infusion : 7..."
"Infusion fruitée trio insolite (mangue, citron, poivre) BIO en vrac","29,30 € ht","Saveur : Mangue - citron - poivre Ingrédients : Datte (datte, farine de riz)*, poivre noir*, arôme naturel (bergamote, mangue, citron), écorces de citron* (5%), bâtons de cannelle*, badiane*, pétales..."
"Infusion fruitée santiago (Mangue, fruit de la passion) Bio en vrac","29,30 € ht","Arômes naturels : Mangue-fruit de la passion Ingrédients : Pomme*, datte (datte, farine de riz)*, cynorrhodon*, hibiscus*, arôme naturel (mangue, fruit de la passion, citron), reine des prés*, coing*, poivre..."
"Infusion fruitée crazy spicy (pomme, cannelle) en vrac","33,70 € ht","Arôme naturel : Pomme-cannelle Ingrédients : Pomme, coing, gingembre, bâtons de cannelle, écorces d'orange, betterave rouge, arôme naturel, pomme, clous de girofle, cardamome, caroube, arôme naturel d'orange, pop-corn, fraise, cardamome moulue, cannelle..."
"Infusion fruitée au zénith (Citron, canneberge) BIO en vrac","33,70 € ht","Saveur : Citron - canneberge Ingrédients : Pomme*, raisin (raisin, huile végétale)*, coco*, écorces de citron*, verveine*, arôme naturel (citron, canneberge), souci*, feuilles d'airelle rouge*, pétales de rose*, canneberge*. *Issu..."
Tisane diet expert BIO en vrac,"32,65 € ht","Arôme naturel : Non aromatisé Ingrédients : Maté vert*, anis*, feuilles de mûre*, ortie*, cynorrhodon*, fenouil*, feuilles de bouleau*, Stevia*. *Issu de l'agriculture biologique Le maté vert favorise la satiété,..."
"Infusion fruitée de-ci de-là (Baies sauvages, framboise) en vrac","30,55 € ht","Arômes naturels : Baies sauvages-framboise Ingrédients : Pomme, raisin (raisin, huile végétale), arôme naturel, carotte, framboise (2%), baie de sureau, fraise, mûre, fleurs de bleuet, coriandre moulue, feuilles de mûre...."
Tisane Mes articulations BIO,"38,40 € ht","Tisane Non aromatisé La partie aérienne d'Epilobe parviflorum aide à maintenir la mobilité et la souplesse des articulations. Ingrédients : Epilobe parviflorum BIO partie aérienne coupée*, Curcuma BIO racine coupée*, Cassis BIO..."
Infusion fruitée Halloween BIO en vrac,"45,05 € ht","Arôme naturel : Non aromatisé Ingrédients : Citrouille* (31%), pomme*, gingembre*, fenouil*, bâtons de cannelle*, baie de sureau*, hibiscus*, anis*, cardamome*, clou de girofle*, racine de réglisse*, curcuma*, cardamome moulue*...."
