Product Name,Price,Description
CHIENDENT rhizome bio,"24,75 € ht",Ingrédients : CHIENDENT rhizome bio. ORIGINE : Pologne Désignation latine : Elymus repens (L.) Gould. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de...
CHICORÉE racine coupée BIO - Origine FRANCE,"11,50 € ht",Ingrédients : CHICORÉE racine bio. ORIGINE : FRANCE Désignation latine : Cichorium intybus L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture biologique.Agriculture...
CHENE Ecorce bio,"18,10 € ht",Ingrédients : CHENE Ecorce bio. ORIGINE : Pologne Désignation latine : Quercus robur L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture biologique.Agriculture...
CHARDON MARIE partie aérienne coupée BIO - Origine FRANCE,"33,70 € ht",Ingrédients : CHARDON MARIE partie aérienne coupée bio. ORIGINE : FRANCE Désignation latine : Silybum marianum (L.) Gaertn. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement...
CHARDON MARIE graine entière BIO - Origine FRANCE,"18,60 € ht",Ingrédients : CHARDON MARIE graine entière bio. ORIGINE : FRANCE Désignation latine : Silybum marianum (L.) Gaertn. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen...
CHARDON MARIE fruit poudre BIO - Origine FRANCE,"24,05 € ht",Ingrédients : CHARDON MARIE fruit poudre bio. ORIGINE : FRANCE/Pologne Désignation latine : Silybum marianum (L.) Gaertn. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement...
CASSIS fruit entier bio,"66,85 € ht",Ingrédients : CASSIS fruit bio. ORIGINE : Pologne Désignation latine : Ribes nigrum L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture...
CARVI graine entière bio,"20,75 € ht",Ingrédients : CARVI graine entière bio. ORIGINE : Lituanie Désignation latine : Carum carvi L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de...
CANNEBERGE fruit (sucré) bio,"40,60 € ht",Ingrédients : CANNEBERGE fruit (sucré) bio. ORIGINE : Canada Désignation latine : Vaccinium macrocarpon. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture...
CAMOMILLE ROMAINE capitule floral entier BIO - Origine FRANCE,"311,85 € ht",Ingrédients : CAMOMILLE ROMAINE capitule floral entier bio. ORIGINE : FRANCE Désignation latine : Chamaemelum nobile (L.) All. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement...
CAMOMILLE MATRICAIRE poudre bio,"29,80 € ht",Ingrédients : CAMOMILLE MATRICAIRE poudre bio. ORIGINE : UE/non UE Désignation latine : Matricaria chamomilla L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen...
BUSSEROLE feuille coupée bio,"25,00 € ht",Ingrédients : BUSSEROLE feuille coupée bio. ORIGINE : Désignation latine : Arctostaphylos uva-ursi (L.) S. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de...
BRUYÈRE fleur/feuille coupée BIO - Origine FRANCE,"33,35 € ht",Ingrédients : BRUYÈRE fleur/feuille bio. ORIGINE : FRANCE Désignation latine : Calluna vulgaris (L.) Hull Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture...
BOURSE A PASTEUR partie aérienne coupée bio,"38,80 € ht",Ingrédients : BOURSE A PASTEUR partie aérienne coupée bio. ORIGINE : Croatie Désignation latine : Capsella bursa-pastoris (L.) M Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon...
BOURDAINE écorce bio,"24,05 € ht",Ingrédients : BOURDAINE écorce bio. ORIGINE : Pologne Désignation latine : Frangula dodonei Ard. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture...
BOUILLON BLANC sommité fleurie coupée bio,"20,40 € ht",Ingrédients : BOUILLON BLANC sommité fleurie coupée bio. ORIGINE : Bulgarie Désignation latine : Verbascum thapsus L. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement...
BOLDO feuille coupée bio,"34,25 € ht",Ingrédients : BOLDO feuille coupée bio. ORIGINE : Chili Désignation latine : Peumus boldus Molina. Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de...
